iter	Passed	Remaining
0	177	177743
1	222	110973
2	255	84755
3	286	71443
4	333	66373
5	363	60215
6	396	56301
7	429	53234
8	462	50914
9	495	49088
10	542	48807
11	586	48268
12	622	47248
13	669	47160
14	701	46043
15	746	45889
16	780	45121
17	823	44911
18	858	44348
19	893	43767
20	937	43702
21	985	43807
22	1032	43845
23	1065	43339
24	1093	42629
25	1126	42202
26	1173	42280
27	1219	42345
28	1252	41930
29	1302	42100
30	1332	41636
31	1395	42210
32	1428	41847
33	1458	41449
34	1503	41467
35	1534	41081
36	1568	40836
37	1620	41027
38	1681	41428
39	1727	41461
40	1758	41124
41	1793	40919
42	1830	40738
43	1863	40492
44	1903	40396
45	1948	40399
46	1983	40217
47	2015	39975
48	2060	39996
49	2097	39852
50	2128	39603
51	2163	39441
52	2198	39275
53	2228	39035
54	2263	38893
55	2296	38707
56	2327	38510
57	2361	38356
58	2396	38215
59	2427	38035
60	2463	37919
61	2502	37858
62	2534	37702
63	2569	37577
64	2605	37473
65	2634	37278
66	2676	37275
67	2706	37095
68	2739	36961
69	2786	37014
70	2837	37131
71	2882	37152
72	2915	37019
73	2963	37079
74	2996	36952
75	3038	36945
76	3070	36802
77	3119	36873
78	3168	36939
79	3200	36800
80	3246	36829
81	3294	36882
82	3327	36759
83	3357	36616
84	3392	36518
85	3426	36421
86	3460	36311
87	3495	36226
88	3527	36110
89	3560	36004
90	3591	35878
91	3624	35774
92	3657	35670
93	3694	35610
94	3732	35555
95	3770	35510
96	3818	35545
97	3862	35550
98	3915	35631
99	3951	35562
100	3990	35520
101	4035	35530
102	4068	35430
103	4097	35301
104	4133	35235
105	4169	35169
106	4204	35088
107	4244	35052
108	4273	34934
109	4323	34984
110	4368	34986
111	4419	35039
112	4464	35045
113	4509	35044
114	4540	34939
115	4572	34842
116	4605	34758
117	4654	34792
118	4702	34812
119	4748	34825
120	4798	34858
121	4840	34832
122	4872	34742
123	4905	34657
124	4941	34588
125	4985	34578
126	5015	34474
127	5045	34374
128	5080	34302
129	5110	34199
130	5140	34101
131	5174	34024
132	5199	33893
133	5236	33839
134	5265	33737
135	5296	33649
136	5328	33565
137	5361	33492
138	5397	33432
139	5441	33424
140	5472	33341
141	5505	33263
142	5535	33172
143	5564	33076
144	5599	33015
145	5632	32946
146	5664	32868
147	5711	32879
148	5757	32880
149	5799	32864
150	5835	32809
151	5865	32722
152	5898	32656
153	5930	32581
154	5962	32505
155	5993	32428
156	6024	32349
157	6058	32284
158	6101	32274
159	6135	32213
160	6171	32160
161	6236	32257
162	6278	32241
163	6323	32236
164	6358	32177
165	6401	32162
166	6430	32075
167	6466	32026
168	6500	31963
169	6533	31899
170	6575	31878
171	6611	31827
172	6642	31751
173	6691	31764
174	6734	31750
175	6768	31689
176	6808	31659
177	6847	31620
178	6894	31621
179	6939	31615
180	6973	31552
181	7018	31545
182	7048	31466
183	7083	31415
184	7117	31355
185	7163	31347
186	7208	31338
187	7240	31272
188	7270	31196
189	7302	31131
190	7335	31070
191	7369	31011
192	7412	30992
193	7447	30940
194	7494	30937
195	7539	30927
196	7575	30879
197	7605	30806
198	7646	30777
199	7680	30723
200	7712	30658
201	7742	30587
202	7785	30567
203	7825	30532
204	7857	30473
205	7887	30401
206	7926	30365
207	7972	30357
208	8017	30344
209	8063	30335
210	8109	30323
211	8141	30261
212	8172	30194
213	8205	30136
214	8236	30071
215	8264	29996
216	8299	29946
217	8333	29893
218	8375	29869
219	8407	29809
220	8443	29763
221	8490	29753
222	8538	29749
223	8567	29680
224	8599	29621
225	8630	29558
226	8665	29506
227	8711	29498
228	8755	29479
229	8787	29420
230	8819	29358
231	8850	29298
232	8887	29255
233	8943	29277
234	8983	29243
235	9015	29184
236	9044	29118
237	9088	29098
238	9121	29043
239	9155	28993
240	9188	28937
241	9234	28924
242	9277	28902
243	9312	28854
244	9345	28798
245	9391	28783
246	9422	28726
247	9454	28669
248	9503	28664
249	9550	28650
250	9594	28629
251	9630	28586
252	9689	28610
253	9719	28547
254	9751	28488
255	9788	28449
256	9816	28380
257	9848	28322
258	9877	28260
259	9910	28207
260	9946	28162
261	9980	28113
262	10025	28093
263	10069	28072
264	10095	28000
265	10122	27932
266	10164	27904
267	10196	27848
268	10226	27789
269	10256	27731
270	10283	27663
271	10319	27620
272	10353	27572
273	10385	27516
274	10430	27499
275	10460	27439
276	10495	27393
277	10529	27346
278	10573	27325
279	10608	27279
280	10639	27224
281	10686	27208
282	10732	27190
283	10769	27151
284	10812	27126
285	10856	27102
286	10892	27060
287	10937	27039
288	10965	26978
289	11003	26938
290	11051	26925
291	11084	26876
292	11115	26821
293	11148	26772
294	11189	26740
295	11223	26692
296	11253	26637
297	11289	26595
298	11320	26541
299	11368	26525
300	11412	26503
301	11448	26461
302	11493	26438
303	11539	26419
304	11574	26375
305	11609	26329
306	11651	26302
307	11682	26247
308	11714	26196
309	11747	26146
310	11781	26101
311	11813	26051
312	11863	26039
313	11903	26005
314	11936	25957
315	11970	25910
316	12015	25888
317	12066	25878
318	12112	25858
319	12156	25833
320	12188	25781
321	12218	25726
322	12249	25675
323	12285	25633
324	12317	25581
325	12362	25559
326	12395	25510
327	12442	25491
328	12476	25446
329	12508	25395
330	12567	25400
331	12601	25354
332	12634	25307
333	12665	25254
334	12712	25234
335	12761	25220
336	12793	25168
337	12841	25151
338	12873	25100
339	12908	25057
340	12946	25019
341	12980	24974
342	13011	24923
343	13046	24878
344	13079	24832
345	13125	24809
346	13168	24780
347	13203	24738
348	13252	24720
349	13295	24692
350	13327	24642
351	13371	24615
352	13408	24576
353	13459	24561
354	13501	24531
355	13551	24513
356	13594	24484
357	13623	24430
358	13659	24388
359	13690	24338
360	13721	24287
361	13755	24243
362	13788	24196
363	13833	24170
364	13863	24118
365	13893	24067
366	13928	24023
367	13978	24007
368	14015	23966
369	14057	23936
370	14104	23912
371	14165	23914
372	14199	23868
373	14241	23837
374	14274	23790
375	14309	23747
376	14341	23699
377	14385	23671
378	14421	23630
379	14468	23606
380	14513	23580
381	14543	23528
382	14572	23475
383	14614	23444
384	14655	23410
385	14686	23361
386	14718	23313
387	14748	23263
388	14786	23224
389	14831	23198
390	14874	23168
391	14908	23123
392	14936	23070
393	14971	23027
394	15004	22981
395	15038	22937
396	15079	22903
397	15109	22854
398	15149	22819
399	15195	22793
400	15242	22768
401	15291	22746
402	15341	22727
403	15372	22678
404	15405	22633
405	15448	22601
406	15482	22558
407	15529	22533
408	15572	22501
409	15606	22458
410	15639	22412
411	15683	22383
412	15713	22333
413	15752	22297
414	15792	22261
415	15820	22209
416	15854	22166
417	15892	22127
418	15922	22078
419	15953	22030
420	15986	21986
421	16031	21957
422	16064	21912
423	16108	21883
424	16143	21840
425	16191	21816
426	16239	21791
427	16283	21762
428	16315	21715
429	16346	21668
430	16377	21621
431	16413	21580
432	16443	21531
433	16475	21486
434	16502	21434
435	16536	21390
436	16570	21348
437	16600	21299
438	16633	21255
439	16668	21214
440	16733	21210
441	16775	21178
442	16808	21134
443	16855	21107
444	16920	21103
445	16964	21072
446	16995	21026
447	17029	20983
448	17062	20938
449	17106	20907
450	17143	20868
451	17202	20855
452	17248	20827
453	17297	20802
454	17360	20794
455	17405	20765
456	17436	20717
457	17473	20678
458	17502	20629
459	17536	20586
460	17578	20553
461	17609	20505
462	17640	20459
463	17673	20415
464	17706	20372
465	17757	20348
466	17789	20303
467	17833	20272
468	17868	20230
469	17904	20190
470	17945	20155
471	17979	20113
472	18019	20076
473	18052	20032
474	18081	19984
475	18116	19943
476	18146	19897
477	18179	19853
478	18210	19807
479	18238	19758
480	18273	19717
481	18304	19671
482	18338	19629
483	18367	19581
484	18401	19539
485	18437	19499
486	18480	19467
487	18508	19418
488	18544	19379
489	18579	19338
490	18612	19294
491	18655	19262
492	18686	19217
493	18714	19169
494	18749	19127
495	18783	19086
496	18827	19054
497	18856	19008
498	18889	18965
499	18923	18923
500	18958	18883
501	19000	18848
502	19034	18807
503	19066	18763
504	19102	18723
505	19132	18678
506	19176	18647
507	19210	18605
508	19253	18572
509	19282	18525
510	19319	18487
511	19346	18439
512	19378	18396
513	19411	18354
514	19438	18306
515	19476	18269
516	19507	18224
517	19537	18179
518	19571	18138
519	19600	18092
520	19636	18053
521	19680	18021
522	19712	17978
523	19746	17937
524	19790	17905
525	19819	17860
526	19847	17814
527	19883	17774
528	19921	17736
529	19966	17706
530	19997	17662
531	20026	17617
532	20062	17578
533	20107	17546
534	20138	17503
535	20171	17462
536	20203	17419
537	20233	17375
538	20266	17333
539	20300	17292
540	20349	17265
541	20393	17233
542	20438	17201
543	20475	17163
544	20518	17130
545	20553	17089
546	20580	17044
547	20616	17004
548	20648	16962
549	20692	16930
550	20724	16887
551	20760	16849
552	20793	16807
553	20835	16774
554	20864	16728
555	20899	16689
556	20932	16647
557	20974	16614
558	21009	16574
559	21044	16535
560	21092	16505
561	21136	16472
562	21166	16429
563	21201	16389
564	21249	16360
565	21281	16318
566	21312	16276
567	21354	16241
568	21387	16200
569	21425	16163
570	21457	16121
571	21500	16087
572	21530	16044
573	21563	16003
574	21599	15964
575	21644	15932
576	21689	15900
577	21724	15861
578	21760	15822
579	21802	15787
580	21852	15759
581	21885	15718
582	21924	15681
583	21958	15641
584	22009	15613
585	22041	15571
586	22073	15530
587	22114	15494
588	22143	15451
589	22177	15411
590	22206	15367
591	22239	15327
592	22275	15288
593	22328	15261
594	22367	15224
595	22400	15184
596	22433	15143
597	22476	15109
598	22511	15070
599	22543	15029
600	22587	14995
601	22623	14956
602	22666	14923
603	22698	14881
604	22732	14841
605	22797	14822
606	22837	14786
607	22875	14748
608	22921	14716
609	22953	14675
610	22987	14635
611	23032	14602
612	23061	14558
613	23095	14519
614	23127	14478
615	23157	14436
616	23194	14397
617	23237	14363
618	23267	14321
619	23303	14282
620	23337	14242
621	23377	14206
622	23409	14166
623	23458	14135
624	23502	14101
625	23537	14062
626	23569	14021
627	23603	13981
628	23646	13947
629	23680	13907
630	23709	13864
631	23743	13825
632	23776	13784
633	23825	13753
634	23868	13719
635	23897	13677
636	23934	13639
637	23980	13606
638	24030	13575
639	24071	13540
640	24107	13501
